,t,ml,mr,sl,sr,p,i,d
5043,285593,38.49,41.51,289.00,306.00,1.75,0.00,0.00
5044,285599,36.89,43.11,277.00,312.00,1.75,0.00,0.00
5045,285606,36.98,43.02,275.00,309.00,1.75,0.00,0.00
5046,285614,37.96,42.04,256.00,279.00,1.75,0.00,0.00
5047,285620,38.04,41.96,240.00,262.00,1.75,0.00,0.00
5048,285627,35.82,44.18,252.00,299.00,1.75,0.00,0.00
5049,285634,42.58,37.42,295.00,266.00,1.75,0.00,0.00
5050,285641,41.16,38.84,297.00,284.00,1.75,0.00,0.00
5051,285648,41.16,38.84,307.00,294.00,1.75,0.00,0.00
5052,285655,40.36,39.64,309.00,305.00,1.75,0.00,0.00
5053,285662,38.49,41.51,316.00,333.00,1.75,0.00,0.00
5054,285669,37.96,42.04,330.00,353.00,1.75,0.00,0.00
5055,285675,36.18,43.82,337.00,380.00,1.75,0.00,0.00
5056,285682,32.44,47.56,312.00,397.00,1.75,0.00,0.00
5057,285689,29.33,50.67,294.00,414.00,1.75,0.00,0.00
5058,285697,29.78,50.22,302.00,417.00,1.75,0.00,0.00
5059,285704,26.58,53.42,310.00,461.00,1.75,0.00,0.00
5060,285710,24.71,55.29,304.00,476.00,1.75,0.00,0.00
5061,285717,23.11,56.89,310.00,500.00,1.75,0.00,0.00
5062,285724,20.71,59.29,320.00,537.00,1.75,0.00,0.00
5063,285731,18.31,61.69,315.00,559.00,1.75,0.00,0.00
5064,285739,15.82,64.18,307.00,579.00,1.75,0.00,0.00
5065,285746,16.35,63.65,314.00,580.00,1.75,0.00,0.00
5066,285752,17.51,62.49,319.00,572.00,1.75,0.00,0.00
5067,285759,17.06,62.94,325.00,583.00,1.75,0.00,0.00
5068,285766,17.51,62.49,329.00,582.00,1.75,0.00,0.00
5069,285773,20.00,60.00,322.00,547.00,1.75,0.00,0.00
5070,285780,20.53,59.47,319.00,538.00,1.75,0.00,0.00
5071,285787,21.86,58.14,338.00,542.00,1.75,0.00,0.00
5072,285794,24.71,55.29,381.00,553.00,1.75,0.00,0.00
5073,285801,21.60,58.40,371.00,578.00,1.75,0.00,0.00
5074,285808,21.95,58.05,344.00,547.00,1.75,0.00,0.00
5075,285815,21.86,58.14,328.00,532.00,1.75,0.00,0.00
5076,285821,22.04,57.96,314.00,516.00,1.75,0.00,0.00
5077,285829,24.62,55.38,327.00,500.00,1.75,0.00,0.00
5078,285836,31.73,48.27,341.00,434.00,1.75,0.00,0.00
5079,285843,37.42,42.58,364.00,393.00,1.75,0.00,0.00
5080,285850,41.69,38.31,355.00,336.00,1.75,0.00,0.00
5081,285856,41.33,38.67,365.00,350.00,1.75,0.00,0.00
5082,285863,44.36,35.64,392.00,343.00,1.75,0.00,0.00
5083,285871,44.89,35.11,381.00,326.00,1.75,0.00,0.00
5084,285878,44.00,36.00,382.00,337.00,1.75,0.00,0.00
5085,285884,39.29,40.71,358.00,366.00,1.75,0.00,0.00
5086,285891,42.40,37.60,378.00,351.00,1.75,0.00,0.00
5087,285898,40.53,39.47,397.00,391.00,1.75,0.00,0.00
5088,285905,39.56,40.44,414.00,419.00,1.75,0.00,0.00
5089,285912,38.13,41.87,413.00,434.00,1.75,0.00,0.00
5090,285919,34.22,45.78,407.00,472.00,1.75,0.00,0.00
5091,285926,30.58,49.42,404.00,510.00,1.75,0.00,0.00
5092,285933,28.35,51.65,399.00,530.00,1.75,0.00,0.00
5093,285940,25.24,54.76,400.00,566.00,1.75,0.00,0.00
5094,285946,24.26,55.74,399.00,576.00,1.75,0.00,0.00
5095,285954,23.64,56.36,407.00,591.00,1.75,0.00,0.00
5096,285961,20.44,59.56,379.00,599.00,1.75,0.00,0.00
5097,285968,18.40,61.60,349.00,592.00,1.75,0.00,0.00
5098,285975,16.71,63.29,346.00,608.00,1.75,0.00,0.00
5099,285982,18.22,61.78,349.00,594.00,1.75,0.00,0.00
5100,285988,20.18,59.82,362.00,585.00,1.75,0.00,0.00
5101,285996,21.51,58.49,384.00,592.00,1.75,0.00,0.00
5102,286003,21.33,58.67,392.00,602.00,1.75,0.00,0.00
5103,286010,21.42,58.58,388.00,597.00,1.75,0.00,0.00
5104,286017,23.73,56.27,366.00,549.00,1.75,0.00,0.00
5105,286023,25.15,54.85,342.00,509.00,1.75,0.00,0.00
5106,286030,28.35,51.65,335.00,466.00,1.75,0.00,0.00
5107,286038,35.47,44.53,334.00,385.00,1.75,0.00,0.00
5108,286045,40.80,39.20,367.00,358.00,1.75,0.00,0.00
5109,286052,46.22,33.78,394.00,324.00,1.75,0.00,0.00
5110,286058,51.73,28.27,425.00,293.00,1.75,0.00,0.00
5111,286065,51.56,28.44,431.00,301.00,1.75,0.00,0.00
5112,286072,50.85,29.15,413.00,291.00,1.75,0.00,0.00
5113,286080,47.20,32.80,377.00,296.00,1.75,0.00,0.00
5114,286087,47.11,32.89,380.00,300.00,1.75,0.00,0.00
5115,286094,45.42,34.58,374.00,313.00,1.75,0.00,0.00
5116,286101,44.00,36.00,373.00,328.00,1.75,0.00,0.00
5117,286108,42.67,37.33,365.00,335.00,1.75,0.00,0.00
5118,286114,43.56,36.44,373.00,333.00,1.75,0.00,0.00
5119,286121,42.49,37.51,396.00,368.00,1.75,0.00,0.00
5120,286129,44.36,35.64,383.00,334.00,1.75,0.00,0.00
5121,286136,41.78,38.22,349.00,329.00,1.75,0.00,0.00
5122,286143,41.96,38.04,396.00,374.00,1.75,0.00,0.00
5123,286149,42.04,37.96,414.00,391.00,1.75,0.00,0.00
5124,286156,39.02,40.98,404.00,415.00,1.75,0.00,0.00
5125,286163,37.51,42.49,397.00,425.00,1.75,0.00,0.00
5126,286171,34.49,45.51,382.00,444.00,1.75,0.00,0.00
5127,286177,33.15,46.85,370.00,447.00,1.75,0.00,0.00
5128,286184,30.40,49.60,378.00,486.00,1.75,0.00,0.00
5129,286191,29.60,50.40,400.00,517.00,1.75,0.00,0.00
5130,286198,31.73,48.27,428.00,521.00,1.75,0.00,0.00
5131,286205,31.20,48.80,438.00,537.00,1.75,0.00,0.00
5132,286212,31.29,48.71,452.00,550.00,1.75,0.00,0.00
5133,286219,31.55,48.45,448.00,543.00,1.75,0.00,0.00
5134,286226,31.29,48.71,445.00,543.00,1.75,0.00,0.00
5135,286233,31.82,48.18,439.00,531.00,1.75,0.00,0.00
5136,286240,31.47,48.53,430.00,526.00,1.75,0.00,0.00
5137,286247,32.00,48.00,449.00,539.00,1.75,0.00,0.00
5138,286254,33.51,46.49,456.00,529.00,1.75,0.00,0.00
5139,286261,34.93,45.07,458.00,515.00,1.75,0.00,0.00
5140,286268,34.13,45.87,446.00,512.00,1.75,0.00,0.00
5141,286275,38.13,41.87,441.00,462.00,1.75,0.00,0.00
5142,286281,38.31,41.69,427.00,446.00,1.75,0.00,0.00
5143,286288,36.09,43.91,383.00,427.00,1.75,0.00,0.00
5144,286296,38.04,41.96,393.00,415.00,1.75,0.00,0.00
5145,286303,40.53,39.47,401.00,395.00,1.75,0.00,0.00
5146,286309,40.44,39.56,405.00,400.00,1.75,0.00,0.00
5147,286316,40.80,39.20,403.00,394.00,1.75,0.00,0.00
5148,286323,43.47,36.53,413.00,374.00,1.75,0.00,0.00
5149,286330,40.71,39.29,386.00,378.00,1.75,0.00,0.00
5150,286337,38.93,41.07,375.00,387.00,1.75,0.00,0.00
5151,286344,38.67,41.33,359.00,374.00,1.75,0.00,0.00
5152,286351,38.67,41.33,365.00,380.00,1.75,0.00,0.00
5153,286358,39.91,40.09,371.00,372.00,1.75,0.00,0.00
5154,286364,40.18,39.82,382.00,380.00,1.75,0.00,0.00
5155,286371,39.02,40.98,371.00,382.00,1.75,0.00,0.00
5156,286379,41.78,38.22,379.00,359.00,1.75,0.00,0.00
5157,286385,40.00,40.00,386.00,386.00,1.75,0.00,0.00
5158,286392,36.89,43.11,389.00,424.00,1.75,0.00,0.00
5159,286399,38.13,41.87,404.00,425.00,1.75,0.00,0.00
5160,286406,35.73,44.27,394.00,442.00,1.75,0.00,0.00
5161,286412,32.89,47.11,396.00,476.00,1.75,0.00,0.00
5162,286419,31.55,48.45,363.00,458.00,1.75,0.00,0.00
5163,286427,30.84,49.16,358.00,461.00,1.75,0.00,0.00
5164,286434,32.53,47.47,350.00,434.00,1.75,0.00,0.00
5165,286441,33.60,46.40,356.00,428.00,1.75,0.00,0.00
5166,286447,33.87,46.13,356.00,425.00,1.75,0.00,0.00
5167,286454,29.33,50.67,344.00,464.00,1.75,0.00,0.00
5168,286461,31.20,48.80,356.00,455.00,1.75,0.00,0.00
5169,286469,41.16,38.84,388.00,375.00,1.75,0.00,0.00
5170,286476,47.47,32.53,413.00,329.00,1.75,0.00,0.00
5171,286483,48.80,31.20,409.00,310.00,1.75,0.00,0.00
5172,286489,49.69,30.31,391.00,282.00,1.75,0.00,0.00
5173,286496,52.00,28.00,405.00,270.00,1.75,0.00,0.00
5174,286503,53.16,26.84,408.00,260.00,1.75,0.00,0.00
5175,286511,52.36,27.64,410.00,271.00,1.75,0.00,0.00
5176,286518,52.89,27.11,392.00,247.00,1.75,0.00,0.00
5177,286525,52.27,27.73,395.00,257.00,1.75,0.00,0.00
5178,286532,48.00,32.00,401.00,311.00,1.75,0.00,0.00
5179,286539,44.09,35.91,400.00,354.00,1.75,0.00,0.00
5180,286545,43.91,36.09,437.00,393.00,1.75,0.00,0.00
5181,286553,43.11,36.89,429.00,394.00,1.75,0.00,0.00
5182,286560,40.27,39.73,387.00,384.00,1.75,0.00,0.00
5183,286567,38.58,41.42,399.00,415.00,1.75,0.00,0.00
5184,286574,40.62,39.38,408.00,401.00,1.75,0.00,0.00
5185,286580,37.16,42.84,399.00,431.00,1.75,0.00,0.00
5186,286587,36.62,43.38,399.00,437.00,1.75,0.00,0.00
5187,286595,36.44,43.56,383.00,423.00,1.75,0.00,0.00
5188,286601,39.20,40.80,403.00,412.00,1.75,0.00,0.00
5189,286608,39.73,40.27,401.00,404.00,1.75,0.00,0.00
5190,286615,38.31,41.69,383.00,402.00,1.75,0.00,0.00
5191,286621,38.84,41.16,390.00,403.00,1.75,0.00,0.00
5192,286628,39.73,40.27,392.00,395.00,1.75,0.00,0.00
5193,286636,40.18,39.82,400.00,398.00,1.75,0.00,0.00
5194,286643,40.44,39.56,390.00,385.00,1.75,0.00,0.00
5195,286649,38.76,41.24,367.00,381.00,1.75,0.00,0.00
5196,286656,39.38,40.62,383.00,390.00,1.75,0.00,0.00
5197,286663,44.62,35.38,420.00,368.00,1.75,0.00,0.00
5198,286670,44.71,35.29,429.00,376.00,1.75,0.00,0.00
5199,286676,44.36,35.64,422.00,373.00,1.75,0.00,0.00
5200,286684,43.02,36.98,409.00,375.00,1.75,0.00,0.00
5201,286691,41.78,38.22,374.00,354.00,1.75,0.00,0.00
5202,286698,40.27,39.73,376.00,373.00,1.75,0.00,0.00
5203,286705,38.49,41.51,373.00,390.00,1.75,0.00,0.00
5204,286711,37.69,42.31,371.00,397.00,1.75,0.00,0.00
5205,286718,35.56,44.44,358.00,408.00,1.75,0.00,0.00
5206,286726,35.47,44.53,325.00,376.00,1.75,0.00,0.00
5207,286732,35.73,44.27,324.00,372.00,1.75,0.00,0.00
5208,286739,34.31,45.69,327.00,391.00,1.75,0.00,0.00
5209,286746,34.93,45.07,327.00,384.00,1.75,0.00,0.00
5210,286753,36.62,43.38,346.00,384.00,1.75,0.00,0.00
5211,286759,34.13,45.87,332.00,398.00,1.75,0.00,0.00
5212,286767,36.18,43.82,345.00,388.00,1.75,0.00,0.00
5213,286774,35.11,44.89,335.00,390.00,1.75,0.00,0.00
5214,286781,32.80,47.20,330.00,411.00,1.75,0.00,0.00
5215,286788,33.78,46.22,344.00,414.00,1.75,0.00,0.00
5216,286794,34.84,45.16,339.00,397.00,1.75,0.00,0.00
5217,286801,37.96,42.04,354.00,377.00,1.75,0.00,0.00
5218,286809,44.27,35.73,383.00,335.00,1.75,0.00,0.00
5219,286816,49.51,30.49,417.00,310.00,1.75,0.00,0.00
5220,286823,52.36,27.64,429.00,290.00,1.75,0.00,0.00
5221,286830,51.82,28.18,401.00,268.00,1.75,0.00,0.00
5222,286836,51.02,28.98,386.00,262.00,1.75,0.00,0.00
5223,286843,51.20,28.80,376.00,250.00,1.75,0.00,0.00
5224,286851,51.20,28.80,371.00,245.00,1.75,0.00,0.00
5225,286858,49.78,30.22,359.00,249.00,1.75,0.00,0.00
5226,286865,49.96,30.04,367.00,255.00,1.75,0.00,0.00
5227,286872,47.47,32.53,361.00,277.00,1.75,0.00,0.00
5228,286879,45.16,34.84,349.00,291.00,1.75,0.00,0.00
5229,286886,44.18,35.82,346.00,299.00,1.75,0.00,0.00
5230,286893,46.31,33.69,343.00,272.00,1.75,0.00,0.00
5231,286900,46.49,33.51,328.00,255.00,1.75,0.00,0.00
5232,286907,45.51,34.49,308.00,246.00,1.75,0.00,0.00
5233,286914,44.36,35.64,290.00,241.00,1.75,0.00,0.00
5234,286921,45.33,34.67,304.00,244.00,1.75,0.00,0.00
5235,286928,45.07,34.93,331.00,274.00,1.75,0.00,0.00
5236,286936,46.76,33.24,365.00,289.00,1.75,0.00,0.00
5237,286943,48.00,32.00,395.00,305.00,1.75,0.00,0.00
5238,286949,49.60,30.40,447.00,339.00,1.75,0.00,0.00
5239,286956,51.11,28.89,484.00,359.00,1.75,0.00,0.00
5240,286963,55.02,24.98,501.00,332.00,1.75,0.00,0.00
5241,286970,49.60,30.40,440.00,332.00,1.75,0.00,0.00
5242,286978,45.07,34.93,395.00,338.00,1.75,0.00,0.00
5243,286985,43.11,36.89,375.00,340.00,1.75,0.00,0.00
5244,286991,40.62,39.38,380.00,373.00,1.75,0.00,0.00
5245,286998,40.62,39.38,394.00,387.00,1.75,0.00,0.00
5246,287005,40.00,40.00,386.00,386.00,1.75,0.00,0.00
5247,287012,41.07,38.93,396.00,384.00,1.75,0.00,0.00
5248,287019,39.91,40.09,406.00,407.00,1.75,0.00,0.00
5249,287026,40.71,39.29,406.00,398.00,1.75,0.00,0.00
5250,287033,37.60,42.40,394.00,421.00,1.75,0.00,0.00
5251,287040,37.07,42.93,384.00,417.00,1.75,0.00,0.00
5252,287046,34.31,45.69,359.00,423.00,1.75,0.00,0.00
5253,287053,33.15,46.85,346.00,423.00,1.75,0.00,0.00
5254,287060,33.42,46.58,347.00,421.00,1.75,0.00,0.00
5255,287068,32.80,47.20,355.00,436.00,1.75,0.00,0.00
5256,287075,32.27,47.73,352.00,439.00,1.75,0.00,0.00
5257,287081,31.29,48.71,334.00,432.00,1.75,0.00,0.00
5258,287088,35.82,44.18,340.00,387.00,1.75,0.00,0.00
5259,287095,36.53,43.47,347.00,386.00,1.75,0.00,0.00
5260,287102,41.51,38.49,358.00,341.00,1.75,0.00,0.00
5261,287110,44.80,35.20,378.00,324.00,1.75,0.00,0.00
5262,287116,47.56,32.44,386.00,301.00,1.75,0.00,0.00
5263,287123,48.62,31.38,393.00,296.00,1.75,0.00,0.00
5264,287130,45.51,34.49,397.00,335.00,1.75,0.00,0.00
5265,287137,45.07,34.93,402.00,345.00,1.75,0.00,0.00
5266,287144,47.47,32.53,402.00,318.00,1.75,0.00,0.00
5267,287152,46.05,33.95,388.00,320.00,1.75,0.00,0.00
5268,287159,43.02,36.98,382.00,348.00,1.75,0.00,0.00
5269,287165,39.56,40.44,368.00,373.00,1.75,0.00,0.00
5270,287172,40.44,39.56,381.00,376.00,1.75,0.00,0.00
5271,287179,40.44,39.56,408.00,403.00,1.75,0.00,0.00
5272,287186,45.78,34.22,439.00,374.00,1.75,0.00,0.00
5273,287193,49.69,30.31,462.00,353.00,1.75,0.00,0.00
5274,287200,52.80,27.20,453.00,309.00,1.75,0.00,0.00
5275,287207,49.96,30.04,412.00,300.00,1.75,0.00,0.00
5276,287214,47.11,32.89,389.00,309.00,1.75,0.00,0.00
5277,287221,45.07,34.93,392.00,335.00,1.75,0.00,0.00
5278,287228,44.98,35.02,401.00,345.00,1.75,0.00,0.00
5279,287236,46.05,33.95,407.00,339.00,1.75,0.00,0.00
5280,287243,47.38,32.62,397.00,314.00,1.75,0.00,0.00
5281,287249,43.64,36.36,370.00,329.00,1.75,0.00,0.00
5282,287256,45.16,34.84,388.00,330.00,1.75,0.00,0.00
5283,287263,43.82,36.18,399.00,356.00,1.75,0.00,0.00
5284,287270,47.56,32.44,432.00,347.00,1.75,0.00,0.00
5285,287278,49.42,30.58,435.00,329.00,1.75,0.00,0.00
5286,287285,50.85,29.15,433.00,311.00,1.75,0.00,0.00
5287,287292,53.42,26.58,424.00,273.00,1.75,0.00,0.00
5288,287298,54.22,25.78,424.00,264.00,1.75,0.00,0.00
5289,287305,54.94,25.06,425.00,257.00,1.75,0.00,0.00
5290,287312,57.42,22.58,430.00,234.00,1.75,0.00,0.00
5291,287320,53.60,26.40,434.00,281.00,1.75,0.00,0.00
5292,287327,58.49,21.51,475.00,267.00,1.75,0.00,0.00
5293,287334,58.40,21.60,481.00,274.00,1.75,0.00,0.00
5294,287341,55.74,24.26,477.00,300.00,1.75,0.00,0.00
5295,287348,58.67,21.33,513.00,303.00,1.75,0.00,0.00
5296,287355,54.58,25.42,477.00,313.00,1.75,0.00,0.00
5297,287362,51.20,28.80,452.00,326.00,1.75,0.00,0.00
5298,287369,54.22,25.78,471.00,311.00,1.75,0.00,0.00
5299,287376,54.85,25.15,471.00,304.00,1.75,0.00,0.00
5300,287383,54.58,25.42,464.00,300.00,1.75,0.00,0.00
5301,287390,58.76,21.24,495.00,284.00,1.75,0.00,0.00
5302,287397,62.22,17.77,524.00,274.00,1.75,0.00,0.00
5303,287405,66.58,13.42,568.00,269.00,1.75,0.00,0.00
5304,287412,70.67,9.33,616.00,271.00,1.75,0.00,0.00
5305,287418,72.09,7.91,618.00,257.00,1.75,0.00,0.00
5306,287425,72.27,7.73,638.00,275.00,1.75,0.00,0.00
5307,287432,71.38,8.62,632.00,279.00,1.75,0.00,0.00
5308,287439,72.80,7.20,614.00,245.00,1.75,0.00,0.00
5309,287447,74.76,5.24,615.00,224.00,1.75,0.00,0.00
5310,287453,75.74,4.26,625.00,223.00,1.75,0.00,0.00
5311,287460,77.60,2.40,646.00,223.00,1.75,0.00,0.00
5312,287467,78.49,1.51,666.00,233.00,1.75,0.00,0.00
5313,287474,76.72,3.28,658.00,245.00,1.75,0.00,0.00
5314,287481,76.80,3.20,653.00,239.00,1.75,0.00,0.00
5315,287489,77.07,2.93,659.00,242.00,1.75,0.00,0.00
5316,287495,75.92,4.08,669.00,265.00,1.75,0.00,0.00
5317,287502,74.05,5.95,646.00,263.00,1.75,0.00,0.00
5318,287509,76.27,3.73,673.00,265.00,1.75,0.00,0.00
5319,287516,73.25,6.75,640.00,266.00,1.75,0.00,0.00
5320,287523,72.09,7.91,645.00,284.00,1.75,0.00,0.00
5321,287529,70.67,9.33,637.00,292.00,1.75,0.00,0.00
5322,287537,72.63,7.37,632.00,265.00,1.75,0.00,0.00
5323,287544,69.78,10.22,637.00,302.00,1.75,0.00,0.00
5324,287551,66.05,13.95,593.00,300.00,1.75,0.00,0.00
5325,287558,69.16,10.84,592.00,264.00,1.75,0.00,0.00
5326,287565,68.80,11.20,613.00,289.00,1.75,0.00,0.00
5327,287572,65.43,14.57,592.00,306.00,1.75,0.00,0.00
5328,287579,64.63,15.37,591.00,314.00,1.75,0.00,0.00
5329,287586,66.05,13.95,585.00,292.00,1.75,0.00,0.00
5330,287593,72.63,7.37,604.00,237.00,1.75,0.00,0.00
5331,287600,72.72,7.28,599.00,231.00,1.75,0.00,0.00
5332,287607,72.54,7.46,592.00,226.00,1.75,0.00,0.00
5333,287614,68.45,11.55,592.00,272.00,1.75,0.00,0.00
5334,287622,65.34,14.66,579.00,294.00,1.75,0.00,0.00
5335,287628,62.14,17.86,567.00,318.00,1.75,0.00,0.00
5336,287635,64.18,15.82,564.00,292.00,1.75,0.00,0.00
5337,287642,67.56,12.44,587.00,277.00,1.75,0.00,0.00
5338,287649,70.40,9.60,576.00,234.00,1.75,0.00,0.00
5339,287656,71.29,8.71,565.00,213.00,1.75,0.00,0.00
5340,287664,69.96,10.04,565.00,228.00,1.75,0.00,0.00
5341,287671,65.96,14.04,541.00,249.00,1.75,0.00,0.00
5342,287678,66.85,13.15,562.00,260.00,1.75,0.00,0.00
5343,287684,68.45,11.55,563.00,243.00,1.75,0.00,0.00
5344,287691,71.03,8.97,597.00,248.00,1.75,0.00,0.00
5345,287698,70.05,9.95,612.00,274.00,1.75,0.00,0.00
5346,287706,67.65,12.35,609.00,298.00,1.75,0.00,0.00
5347,287713,65.69,14.31,614.00,325.00,1.75,0.00,0.00
5348,287720,82.32,-2.32,638.00,162.00,1.75,0.00,0.00
5349,287727,73.25,6.75,633.00,259.00,1.75,0.00,0.00
5350,287733,69.78,10.22,639.00,304.00,1.75,0.00,0.00
5351,287740,71.74,8.26,656.00,299.00,1.75,0.00,0.00
5352,287748,78.76,1.24,698.00,262.00,1.75,0.00,0.00
5353,287755,79.47,0.53,718.00,274.00,1.75,0.00,0.00
5354,287762,77.52,2.48,708.00,286.00,1.75,0.00,0.00
5355,287768,79.29,0.71,738.00,296.00,1.75,0.00,0.00
5356,287775,79.29,0.71,740.00,298.00,1.75,0.00,0.00
5357,287782,81.69,-1.69,758.00,289.00,1.75,0.00,0.00
5358,287790,85.78,-5.78,797.00,282.00,1.75,0.00,0.00
5359,287797,86.05,-6.05,796.00,278.00,1.75,0.00,0.00
5360,287804,87.74,-7.74,781.00,244.00,1.75,0.00,0.00
5361,287811,87.83,-7.83,808.00,270.00,1.75,0.00,0.00
5362,287818,85.69,-5.69,807.00,293.00,1.75,0.00,0.00
5363,287824,84.45,-4.45,812.00,312.00,1.75,0.00,0.00
5364,287832,82.14,-2.14,825.00,351.00,1.75,0.00,0.00
5365,287839,80.09,-0.09,789.00,338.00,1.75,0.00,0.00
5366,287846,84.01,-4.01,809.00,314.00,1.75,0.00,0.00
5367,287853,86.85,-6.85,813.00,286.00,1.75,0.00,0.00
5368,287860,85.96,-5.96,804.00,287.00,1.75,0.00,0.00
5369,287867,84.45,-4.45,807.00,307.00,1.75,0.00,0.00
5370,287875,86.76,-6.76,803.00,277.00,1.75,0.00,0.00
5371,287882,86.58,-6.58,811.00,287.00,1.75,0.00,0.00
5372,287888,80.09,-0.09,816.00,365.00,1.75,0.00,0.00
5373,287895,83.21,-3.21,813.00,327.00,1.75,0.00,0.00
5374,287902,84.63,-4.63,810.00,308.00,1.75,0.00,0.00
5375,287909,81.96,-1.96,792.00,320.00,1.75,0.00,0.00
5376,287917,80.72,-0.72,772.00,314.00,1.75,0.00,0.00
5377,287924,78.14,1.86,751.00,322.00,1.75,0.00,0.00
5378,287931,74.40,5.60,757.00,370.00,1.75,0.00,0.00
5379,287938,62.85,17.15,650.00,393.00,1.75,0.00,0.00
5380,287944,60.00,20.00,588.00,363.00,1.75,0.00,0.00
5381,287951,53.96,26.04,530.00,373.00,1.75,0.00,0.00
5382,287959,45.51,34.49,471.00,409.00,1.75,0.00,0.00
5383,287966,39.73,40.27,403.00,406.00,1.75,0.00,0.00
5384,287973,32.53,47.47,358.00,442.00,1.75,0.00,0.00
5385,287979,26.93,53.07,322.00,469.00,1.75,0.00,0.00
5386,287986,21.78,58.22,305.00,510.00,1.75,0.00,0.00
5387,287993,20.00,60.00,317.00,542.00,1.75,0.00,0.00
5388,288001,23.55,56.45,357.00,542.00,1.75,0.00,0.00
5389,288008,24.35,55.65,379.00,555.00,1.75,0.00,0.00
5390,288014,22.13,57.87,386.00,587.00,1.75,0.00,0.00
5391,288021,23.73,56.27,383.00,566.00,1.75,0.00,0.00
5392,288028,25.51,54.49,388.00,551.00,1.75,0.00,0.00
5393,288035,27.55,52.45,375.00,515.00,1.75,0.00,0.00
5394,288043,33.07,46.93,396.00,474.00,1.75,0.00,0.00
5395,288049,37.33,42.67,389.00,419.00,1.75,0.00,0.00
5396,288056,41.07,38.93,364.00,352.00,1.75,0.00,0.00
5397,288063,46.05,33.95,360.00,292.00,1.75,0.00,0.00
5398,288070,49.69,30.31,382.00,273.00,1.75,0.00,0.00
5399,288077,52.27,27.73,388.00,250.00,1.75,0.00,0.00
5400,288084,52.71,27.29,395.00,252.00,1.75,0.00,0.00
5401,288092,50.40,29.60,398.00,281.00,1.75,0.00,0.00
5402,288099,49.51,30.49,408.00,301.00,1.75,0.00,0.00
5403,288105,50.85,29.15,414.00,292.00,1.75,0.00,0.00
5404,288112,55.91,24.09,450.00,271.00,1.75,0.00,0.00
5405,288119,58.67,21.33,477.00,267.00,1.75,0.00,0.00
5406,288126,60.00,20.00,509.00,284.00,1.75,0.00,0.00
5407,288134,64.80,15.20,548.00,269.00,1.75,0.00,0.00
5408,288141,64.98,15.02,543.00,262.00,1.75,0.00,0.00
5409,288148,65.25,14.75,549.00,265.00,1.75,0.00,0.00
5410,288155,66.85,13.15,553.00,251.00,1.75,0.00,0.00
5411,288162,64.80,15.20,550.00,271.00,1.75,0.00,0.00
5412,288168,61.87,18.13,532.00,286.00,1.75,0.00,0.00
5413,288176,61.69,18.31,533.00,289.00,1.75,0.00,0.00
5414,288183,63.20,16.80,550.00,289.00,1.75,0.00,0.00
5415,288190,64.54,15.46,551.00,275.00,1.75,0.00,0.00
5416,288197,62.05,17.95,520.00,272.00,1.75,0.00,0.00
5417,288204,56.98,23.02,465.00,274.00,1.75,0.00,0.00
5418,288211,53.51,26.49,433.00,281.00,1.75,0.00,0.00
5419,288219,50.22,29.78,406.00,291.00,1.75,0.00,0.00
5420,288226,47.73,32.27,389.00,302.00,1.75,0.00,0.00
5421,288232,45.87,34.13,377.00,311.00,1.75,0.00,0.00
5422,288239,46.58,33.42,376.00,302.00,1.75,0.00,0.00
5423,288246,45.42,34.58,353.00,292.00,1.75,0.00,0.00
5424,288253,44.80,35.20,352.00,298.00,1.75,0.00,0.00
5425,288261,44.09,35.91,346.00,300.00,1.75,0.00,0.00
5426,288268,44.53,35.47,354.00,303.00,1.75,0.00,0.00
5427,288274,43.29,36.71,352.00,315.00,1.75,0.00,0.00
5428,288281,41.33,38.67,350.00,335.00,1.75,0.00,0.00
5429,288288,39.29,40.71,337.00,345.00,1.75,0.00,0.00
5430,288295,39.29,40.71,336.00,344.00,1.75,0.00,0.00
5431,288302,39.47,40.53,340.00,346.00,1.75,0.00,0.00
5432,288309,39.20,40.80,349.00,358.00,1.75,0.00,0.00
5433,288316,40.98,39.02,370.00,359.00,1.75,0.00,0.00
5434,288323,41.33,38.67,369.00,354.00,1.75,0.00,0.00
5435,288330,40.62,39.38,359.00,352.00,1.75,0.00,0.00
5436,288336,41.51,38.49,364.00,347.00,1.75,0.00,0.00
5437,288344,43.02,36.98,385.00,351.00,1.75,0.00,0.00
5438,288351,43.47,36.53,382.00,343.00,1.75,0.00,0.00
5439,288358,44.18,35.82,395.00,348.00,1.75,0.00,0.00
5440,288365,40.71,39.29,378.00,370.00,1.75,0.00,0.00
5441,288371,36.62,43.38,355.00,393.00,1.75,0.00,0.00
5442,288378,35.38,44.62,337.00,389.00,1.75,0.00,0.00
5443,288386,37.78,42.22,364.00,389.00,1.75,0.00,0.00
5444,288393,37.51,42.49,345.00,373.00,1.75,0.00,0.00
5445,288399,40.00,40.00,357.00,357.00,1.75,0.00,0.00
5446,288406,40.00,40.00,347.00,347.00,1.75,0.00,0.00
5447,288413,44.36,35.64,385.00,336.00,1.75,0.00,0.00
5448,288419,37.78,42.22,317.00,342.00,1.75,0.00,0.00
5449,288427,43.73,36.27,347.00,305.00,1.75,0.00,0.00
5450,288434,47.29,32.71,359.00,277.00,1.75,0.00,0.00
5451,288441,46.93,33.07,343.00,265.00,1.75,0.00,0.00
5452,288448,42.58,37.42,280.00,251.00,1.75,0.00,0.00
